"행정구역별(시군구)","직업별","항목","단위","2015 년",
"중구","7. 기능원 및 관련 기능 종사자","여-현거주지","","2129",
"중구","7. 기능원 및 관련 기능 종사자","여-근무지","","6303",
"중구","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","3424",
"중구","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","20108",
"중구","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","2900",
"중구","8. 장치, 기계조작 및 조립 종사자","남-근무지","","17410",
"중구","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","524",
"중구","8. 장치, 기계조작 및 조립 종사자","여-근무지","","2698",
"중구","9. 단순 노무 종사자","취업인구-현거주지","","6114",
"중구","9. 단순 노무 종사자","취업인구-근무지","","21857",
"중구","9. 단순 노무 종사자","남-현거주지","","3536",
"중구","9. 단순 노무 종사자","남-근무지","","12746",
"중구","9. 단순 노무 종사자","여-현거주지","","2578",
"중구","9. 단순 노무 종사자","여-근무지","","9111",
"중구","A. 기타","취업인구-현거주지","","46",
"중구","A. 기타","취업인구-근무지","","90",
"중구","A. 기타","남-현거주지","","38",
"중구","A. 기타","남-근무지","","84",
"중구","A. 기타","여-현거주지","","8",
"중구","A. 기타","여-근무지","","6",
"용산구","계","취업인구-현거주지","","106678",
"용산구","계","취업인구-근무지","","158693",
"용산구","계","남-현거주지","","59924",
"용산구","계","남-근무지","","93801",
"용산구","계","여-현거주지","","46754",
"용산구","계","여-근무지","","64892",
"용산구","1. 관리자","취업인구-현거주지","","4409",
"용산구","1. 관리자","취업인구-근무지","","4296",
"용산구","1. 관리자","남-현거주지","","3317",
"용산구","1. 관리자","남-근무지","","3332",
"용산구","1. 관리자","여-현거주지","","1092",
"용산구","1. 관리자","여-근무지","","964",
